PRES hPa,HGHT m,TEMP C,DWPT C,RELH %,MIXR g/kg,DRCT deg,SPED m/s,THTA K,THTE K,THTV K
1013,4,15.4,8.9,65,7.07,316,3.1,287.5,307.5,288.7
1012.5,8,15.3,8.3,63,6.81,314,3.1,287.5,306.8,288.6
1012.1,11,15.3,8.5,64,6.9,313,3.2,287.4,307,288.6
1011.7,15,15.2,8.5,64,6.89,312,3.2,287.4,307,288.6
1011.2,18,15.1,8.3,64,6.82,311,3.3,287.4,306.7,288.5
1010.8,22,15.1,8.1,63,6.72,310,3.4,287.3,306.4,288.5
1010.4,25,15,8,63,6.65,310,3.5,287.3,306.2,288.4
1010,29,14.9,7.8,63,6.6,309,3.6,287.3,306,288.4
1009.5,33,14.9,7.8,63,6.58,310,3.8,287.2,305.9,288.4
1008.6,40,14.8,7.7,63,6.56,310,4,287.2,305.9,288.4
1007.5,50,14.7,7.7,63,6.55,311,4.1,287.3,305.9,288.4
1006.3,59,14.7,7.7,63,6.54,311,4.3,287.3,305.9,288.4
1005.4,68,14.6,7.6,63,6.53,312,4.5,287.3,305.8,288.4
1004.6,74,14.5,7.6,63,6.52,313,4.8,287.3,305.8,288.4
1003.9,80,14.5,7.6,63,6.51,313,5.1,287.3,305.8,288.4
1003.3,85,14.4,7.5,63,6.51,314,5.3,287.3,305.8,288.4
1002.8,90,14.3,7.5,64,6.49,314,5.6,287.2,305.7,288.4
1002.2,94,14.3,7.4,64,6.47,315,5.8,287.2,305.6,288.3
1001.6,100,14.2,7.4,64,6.44,315,6.1,287.2,305.5,288.3
1000.9,105,14.1,7.3,63,6.42,315,6.3,287.2,305.4,288.3
1000.3,110,14.1,7.3,64,6.4,316,6.6,287.2,305.4,288.3
1000,113,14.1,7.2,63,6.39,316,6.6,287.2,305.4,288.3
999.7,115,14,7.2,63,6.38,316,6.8,287.2,305.3,288.3
999.2,120,14,7.1,63,6.35,316,7.1,287.2,305.3,288.3
998.7,124,13.9,7,63,6.31,316,7.3,287.2,305.1,288.3
998.2,128,13.9,6.9,63,6.26,316,7.5,287.2,305,288.3
997.7,132,13.8,6.9,63,6.25,316,7.8,287.2,305,288.3
996.9,139,13.8,7,63,6.29,316,8,287.2,305.1,288.3
995.9,147,13.7,7,64,6.31,316,8.2,287.2,305.1,288.3
994.9,156,13.6,7,64,6.31,316,8.5,287.2,305.1,288.3
994,164,13.6,7,64,6.32,316,8.7,287.2,305.2,288.3
993.3,170,13.5,7,65,6.34,316,8.9,287.2,305.3,288.3
992.6,175,13.5,7,65,6.34,315,9.1,287.2,305.2,288.3
992,181,13.4,7,65,6.32,315,9.3,287.2,305.2,288.3
991.3,187,13.3,6.9,65,6.3,315,9.5,287.2,305.1,288.3
990.6,193,13.3,6.9,65,6.31,314,9.7,287.2,305.1,288.3
989.8,199,13.2,6.9,66,6.32,314,9.9,287.2,305.2,288.3
989.2,204,13.2,6.9,66,6.3,314,10.1,287.2,305.1,288.3
