PRES hPa,HGHT m,TEMP C,DWPT C,RELH %,MIXR g/kg,DRCT deg,SPED m/s,THTA K,THTE K,THTV K
1018.9,13,2.9,-0.4,79,3.64,65,0.5,274.6,284.6,275.2
1018.1,19,3.4,0.1,79,3.79,41,4.6,275.1,285.6,275.8
1017.4,26,3.9,0.6,79,3.94,40,4.6,275.7,286.5,276.3
1016.6,32,4.4,1.1,79,4.08,39,4.5,276.2,287.5,276.9
1015.8,38,4.9,1.7,79,4.24,38,4.5,276.8,288.5,277.5
1015,45,5.4,2.2,80,4.4,37,4.4,277.4,289.5,278.1
1014.3,50,5.9,2.7,80,4.56,36,4.4,277.9,290.5,278.7
1013.5,57,6.2,3,80,4.67,33,4.4,278.3,291.2,279
1012.9,62,6.3,2.9,79,4.65,31,4.4,278.4,291.3,279.2
1012.2,67,6.3,2.8,78,4.63,27,4.3,278.5,291.3,279.3
1011.5,73,6.4,2.8,78,4.61,24,4.3,278.6,291.4,279.4
1010.9,78,6.5,2.7,77,4.59,21,4.3,278.8,291.5,279.5
1010.2,83,6.6,2.6,76,4.57,18,4.3,278.9,291.6,279.7
1009.6,89,6.6,2.6,75,4.55,15,4.3,279,291.7,279.8
1009.1,94,6.7,2.5,74,4.53,12,4.2,279.1,291.7,279.9
1008.5,98,6.8,2.4,74,4.51,8,4.2,279.2,291.8,280
1007.9,103,6.9,2.3,73,4.49,7,4.3,279.4,291.9,280.1
1007.4,107,6.9,2.3,72,4.47,5,4.4,279.5,291.9,280.2
1006.8,111,7,2.2,71,4.45,4,4.5,279.6,292,280.4
1006.2,116,7.1,2.1,71,4.42,3,4.7,279.7,292.1,280.5
1005.6,120,7.1,2.1,70,4.42,1,4.8,279.8,292.2,280.6
1005.1,125,7.1,2,70,4.41,360,4.9,279.9,292.2,280.6
1004.5,130,7.2,2,70,4.39,359,5,279.9,292.2,280.7
1003.9,134,7.2,1.9,69,4.38,358,5.2,280,292.3,280.7
1003.4,139,7.2,1.9,69,4.36,357,5.3,280,292.3,280.8
