PRES hPa,HGHT m,TEMP C,DWPT C,RELH %,MIXR g/kg,DRCT deg,SPED m/s,THTA K,THTE K,THTV K
849,1474,16.6,-5.1,22,3.08,320,2.6,303.6,313.3,304.2
848.2,1485,16.3,-6,21,2.89,346,4.4,303.4,312.6,304
847.5,1495,16.1,-6.8,20,2.71,346,4.4,303.2,311.8,303.7
846.7,1502,15.8,-7.7,19,2.54,346,4.4,303.1,311.1,303.5
845.9,1508,15.6,-8.6,18,2.37,346,4.4,302.9,310.4,303.3
845.2,1514,15.3,-9.5,17,2.2,346,4.4,302.7,309.7,303.1
844.4,1520,15.1,-10.4,16,2.04,346,4.4,302.5,309,302.8
843.6,1529,14.9,-11.7,15,1.85,347,4.4,302.4,308.4,302.7
843.2,1532,14.9,-11.7,15,1.85,347,4.4,302.4,308.4,302.7
842.6,1538,14.8,-11.7,15,1.85,348,4.4,302.4,308.4,302.7
842,1544,14.7,-11.7,15,1.85,348,4.4,302.4,308.4,302.7
841.4,1550,14.7,-11.7,15,1.85,349,4.4,302.4,308.3,302.7
840.8,1556,14.6,-11.7,15,1.85,350,4.4,302.4,308.3,302.7
840.3,1562,14.5,-11.7,15,1.85,350,4.5,302.4,308.3,302.7
839.8,1567,14.5,-11.7,15,1.85,351,4.5,302.3,308.3,302.7
839.2,1573,14.4,-11.7,15,1.85,351,4.5,302.3,308.3,302.7
838.7,1578,14.3,-11.7,15,1.85,351,4.6,302.3,308.3,302.6
838.1,1583,14.3,-11.7,15,1.86,352,4.6,302.3,308.3,302.6
837.6,1588,14.2,-11.8,15,1.86,352,4.7,302.3,308.3,302.6
837,1594,14.1,-11.8,15,1.86,352,4.8,302.3,308.2,302.6
836.5,1600,14.1,-11.8,16,1.86,352,4.9,302.3,308.2,302.6
835.9,1606,14,-11.8,16,1.86,352,5,302.3,308.2,302.6
835.3,1612,14,-11.8,16,1.86,352,5.1,302.3,308.3,302.6
834.7,1617,13.9,-11.8,16,1.86,352,5.1,302.3,308.3,302.6
834.1,1623,13.9,-11.8,16,1.86,352,5.2,302.3,308.3,302.6
833.5,1629,13.8,-11.8,16,1.86,352,5.3,302.3,308.3,302.6
832.9,1636,13.7,-11.8,16,1.86,352,5.4,302.3,308.3,302.6
832.3,1642,13.7,-11.8,16,1.86,352,5.5,302.3,308.3,302.6
831.7,1648,13.6,-11.8,16,1.86,352,5.6,302.3,308.3,302.6
831,1655,13.6,-11.8,16,1.87,352,5.6,302.3,308.3,302.6
830.4,1661,13.5,-11.8,16,1.87,351,5.6,302.3,308.3,302.6
829.9,1666,13.5,-11.8,16,1.87,351,5.7,302.3,308.3,302.6
829.4,1671,13.4,-11.8,16,1.87,351,5.7,302.3,308.3,302.6
828.9,1677,13.3,-11.8,16,1.87,351,5.8,302.3,308.3,302.6
828.3,1682,13.3,-11.8,16,1.87,350,5.8,302.3,308.3,302.6
827.8,1687,13.2,-11.8,16,1.87,350,5.9,302.3,308.3,302.6
827.3,1693,13.2,-11.8,16,1.87,350,5.9,302.2,308.3,302.6
