PRES hPa,HGHT m,TEMP C,DWPT C,RELH %,MIXR g/kg,DRCT deg,SPED m/s,THTA K,THTE K,THTV K
1017,17,14.3,7.2,62,6.25,328,5.5,286.1,303.8,287.1
1013.9,43,13.2,7.1,66,6.22,322,4.1,285.2,302.7,286.3
1013.2,49,13.1,7,66,6.2,323,4.5,285.2,302.7,286.3
1012.5,55,13.1,6.9,66,6.18,323,4.9,285.2,302.7,286.3
1011.8,61,13,6.9,66,6.18,322,5.2,285.2,302.7,286.3
1010.9,68,13,6.9,67,6.17,322,5.5,285.2,302.6,286.3
1009.8,77,12.8,6.8,67,6.15,322,5.8,285.2,302.5,286.2
1008.5,88,12.7,6.8,67,6.15,322,6.1,285.2,302.5,286.2
1007.4,97,12.4,6.7,68,6.09,321,6.3,285,302.2,286
1006.4,106,12.2,6.5,68,6.05,321,6.5,284.8,301.9,285.9
1005.8,110,12.1,6.5,69,6.04,321,6.7,284.8,301.8,285.8
1005.6,112,12.1,6.5,69,6.03,321,6.9,284.7,301.7,285.8
1005.4,114,12,6.5,69,6.02,321,7.1,284.7,301.7,285.8
1005.2,115,12,6.4,69,6.02,320,7.2,284.7,301.7,285.8
1004.6,120,12,6.4,69,6.02,320,7.4,284.7,301.7,285.8
1003.8,127,11.9,6.4,69,6.01,320,7.6,284.8,301.7,285.8
1003,134,11.9,6.4,69,6,319,7.8,284.8,301.7,285.8
1002.1,142,11.8,6.3,69,5.99,319,7.9,284.8,301.7,285.8
1001.3,148,11.7,6.4,70,6,319,8,284.8,301.7,285.8
1000.7,153,11.7,6.4,70,6.01,318,8.1,284.8,301.7,285.8
1000.1,158,11.6,6.4,70,6.01,318,8.2,284.8,301.7,285.8
1000,159,11.6,6.4,70,6.01,317,8.3,284.8,301.7,285.8
999.6,162,11.6,6.3,70,6.01,317,8.3,284.8,301.7,285.8
999.1,167,11.6,6.4,70,6.02,317,8.3,284.8,301.8,285.9
998.5,171,11.6,6.4,70,6.04,317,8.3,284.8,301.9,285.9
998,176,11.6,6.5,71,6.07,316,8.3,284.9,302,285.9
997.4,180,11.5,6.4,71,6.06,316,8.3,284.9,302,285.9
996.8,186,11.5,6.4,71,6.04,315,8.3,284.9,301.9,285.9
996.1,192,11.4,6.3,70,6,315,8.2,284.9,301.8,285.9
995.4,198,11.6,6.2,69,5.97,315,8.2,285.2,302,286.2
994.8,203,11.9,6.1,68,5.94,314,8.1,285.4,302.2,286.5
994.1,208,12,6.1,67,5.92,314,8.1,285.6,302.4,286.7
993.6,213,12.1,6,67,5.92,314,8,285.7,302.5,286.8
993.1,217,12.1,6.1,67,5.94,313,7.9,285.8,302.7,286.9
992.6,222,12.2,6.1,66,5.96,313,7.8,285.9,302.9,287
992.1,226,12.2,6.1,66,5.97,312,7.7,286,302.9,287
991.5,230,12.2,6.2,67,5.98,311,7.6,286,303,287.1
990.8,236,12.2,6.2,67,6,311,7.5,286.1,303.1,287.1
990.1,242,12.1,6.2,67,6.01,310,7.4,286.1,303.1,287.1
989.6,247,12,6.3,68,6.05,309,7.3,286,303.1,287.1
989,252,11.8,6.3,69,6.04,309,7.2,285.8,302.9,286.9
988.4,257,11.6,6.3,70,6.04,308,7.1,285.7,302.8,286.8
987.6,263,11.5,6.2,70,6.03,307,7,285.7,302.7,286.7
986.9,270,11.5,6.2,70,6.02,306,6.9,285.7,302.7,286.7
986.1,276,11.4,6.1,70,6,305,6.8,285.7,302.7,286.7
985.5,281,11.4,6.1,70,6,304,6.7,285.7,302.7,286.8
985.1,285,11.4,6.1,70,5.99,303,6.6,285.8,302.7,286.8
985,286,11.4,6,69,5.96,302,6.5,285.8,302.7,286.8
984.9,286,11.6,6.1,69,5.99,301,6.5,286,303,287
984.5,290,11.8,6.1,68,6.01,299,6.4,286.2,303.3,287.3
983.7,296,12.1,6.2,67,6.04,298,6.4,286.6,303.7,287.6
982.8,304,12.2,6.2,67,6.05,297,6.4,286.8,303.9,287.8
982,311,12.2,6.1,67,6.03,296,6.4,286.8,304,287.9
981.3,317,12.2,6.1,67,6.03,295,6.4,286.8,304,287.9
980.8,322,12.2,6.1,67,6.03,294,6.4,286.9,304.1,288
980.3,326,12.2,6.1,66,6.03,292,6.4,287,304.2,288
979.9,329,12.2,6.1,66,6.01,291,6.5,287,304.1,288.1
979.5,333,12.2,6.1,66,6.02,290,6.5,287.1,304.2,288.1
978.9,338,12.2,6.1,66,6.04,290,6.6,287.1,304.3,288.2
978.2,344,12.2,6.1,66,6.04,289,6.7,287.1,304.4,288.2
977.4,350,12.2,6,66,6.02,288,6.7,287.2,304.3,288.2
976.7,357,12.1,5.9,66,5.98,287,6.8,287.2,304.3,288.2
976.1,362,12.1,5.8,65,5.93,287,6.9,287.3,304.2,288.3
975.5,366,12.2,5.7,65,5.89,286,7,287.3,304.1,288.4
975,371,12.2,5.6,64,5.86,286,7.1,287.4,304.1,288.4
974.4,376,12.1,5.5,64,5.83,286,7.2,287.4,304.1,288.4
973.9,381,12.1,5.5,64,5.8,285,7.2,287.4,304,288.4
973.4,385,12.1,5.4,64,5.8,285,7.3,287.4,304,288.4
972.8,390,12.1,5.5,64,5.83,285,7.4,287.5,304.1,288.5
972.4,394,12.1,5.6,64,5.86,285,7.5,287.5,304.3,288.5
972,397,12.1,5.6,64,5.86,285,7.5,287.5,304.3,288.6
971.5,401,12,5.5,64,5.84,285,7.6,287.5,304.2,288.6
971,405,12,5.6,65,5.86,285,7.6,287.5,304.3,288.6
970.4,410,11.9,5.6,65,5.87,285,7.7,287.5,304.3,288.5
969.8,415,11.8,5.6,66,5.87,285,7.7,287.4,304.2,288.5
969.3,420,11.7,5.5,66,5.86,285,7.7,287.4,304.1,288.4
968.7,425,11.7,5.5,66,5.84,285,7.7,287.4,304.1,288.4
968,431,11.7,5.4,65,5.8,285,7.8,287.5,304,288.5
967.3,437,11.7,5.2,65,5.75,285,7.7,287.6,304,288.6
966.6,443,11.7,5.2,64,5.72,286,7.7,287.6,304,288.6
966,448,11.7,5.1,64,5.72,286,7.7,287.6,304,288.6
965.4,454,11.6,5,64,5.66,286,7.7,287.6,303.8,288.6
964.8,459,11.6,4.6,62,5.53,287,7.6,287.7,303.6,288.7
964.1,465,11.7,4.2,60,5.36,287,7.6,287.8,303.2,288.7
963.6,470,11.8,3.9,58,5.25,288,7.5,288,303.1,288.9
963,474,11.9,3.9,58,5.26,288,7.5,288.1,303.3,289
962.6,478,11.8,4,59,5.31,289,7.4,288.1,303.3,289
962.2,482,11.7,4.1,60,5.34,289,7.3,288,303.4,289
961.8,485,11.6,4.1,60,5.35,290,7.3,288,303.3,288.9
961.2,490,11.6,4,60,5.3,291,7.2,287.9,303.2,288.9
960.5,497,11.6,3.8,59,5.21,291,7.2,288,303.1,289
959.6,504,11.6,3.6,58,5.18,292,7.1,288.1,303,289
959,509,11.6,3.7,58,5.19,293,7.1,288.1,303.1,289
958.7,512,11.5,3.7,59,5.21,293,7.1,288.1,303.1,289
958.5,514,11.4,3.8,59,5.24,294,7,288.1,303.1,289
958.1,517,11.4,3.9,60,5.28,295,7,288,303.2,288.9
957.4,523,11.3,3.8,60,5.26,296,7,288,303.2,288.9
956.5,532,11.3,3.7,60,5.23,296,7,288.1,303.1,289
955.4,541,11.2,3.7,60,5.21,297,7.1,288.1,303.1,289
954.5,548,11.2,3.7,60,5.21,298,7.1,288.2,303.2,289.1
953.9,554,11.1,3.7,60,5.24,298,7.2,288.2,303.2,289.1
953.4,558,11.1,3.9,61,5.3,299,7.2,288.1,303.4,289
953,562,11,4,62,5.35,299,7.3,288.1,303.5,289
952.5,566,11,3.9,61,5.3,299,7.4,288.1,303.4,289.1
951.9,572,11,3.6,60,5.19,300,7.5,288.1,303.1,289.1
