PRES hPa,HGHT m,TEMP C,DWPT C,RELH %,MIXR g/kg,DRCT deg,SPED m/s,THTA K,THTE K,THTV K
868.5,1289,33.9,1.7,13,4.98,19,3.6,319.7,336.1,320.6
868,1294,33.8,1.1,13,4.76,3,6.8,319.6,335.4,320.6
867.4,1300,33.7,0.5,12,4.56,3,6.8,319.6,334.7,320.5
866.9,1305,33.7,-0.2,12,4.36,3,6.8,319.6,334,320.4
866.4,1310,33.6,-0.8,11,4.15,3,6.8,319.5,333.3,320.3
865.9,1316,33.5,-1.5,11,3.96,3,6.8,319.5,332.7,320.3
865.3,1321,33.4,-2.2,10,3.76,3,6.8,319.5,332,320.2
864.6,1329,33.3,-3.2,9,3.48,4,6.5,319.4,331.1,320.1
864.3,1332,33.2,-3.2,9,3.48,4,6.4,319.4,331,320.1
863.8,1338,33.1,-3.3,9,3.48,5,6.2,319.4,331,320
863.2,1343,33.1,-3.3,10,3.47,5,6.1,319.4,331,320
862.7,1349,33,-3.3,10,3.46,6,5.9,319.3,330.9,320
862.2,1354,32.9,-3.4,10,3.46,7,5.7,319.3,330.8,320
861.7,1360,32.8,-3.4,10,3.46,8,5.5,319.2,330.8,319.9
861.1,1365,32.7,-3.4,10,3.45,8,5.3,319.2,330.8,319.9
860.6,1370,32.6,-3.4,10,3.44,9,5.2,319.2,330.7,319.9
860.1,1376,32.6,-3.5,10,3.44,9,5.2,319.2,330.6,319.8
859.6,1381,32.5,-3.5,10,3.43,8,5.2,319.1,330.6,319.8
859.1,1387,32.4,-3.5,10,3.43,8,5.3,319.1,330.5,319.7
858.5,1392,32.3,-3.6,10,3.42,8,5.3,319.1,330.5,319.7
858,1398,32.2,-3.6,10,3.42,7,5.3,319,330.5,319.7
857.5,1403,32.1,-3.6,10,3.42,7,5.3,319,330.4,319.6
857,1409,32.1,-3.6,10,3.43,6,5.4,319,330.4,319.6
856.4,1414,32,-3.6,10,3.43,6,5.4,318.9,330.4,319.6
855.9,1420,31.9,-3.6,10,3.43,6,5.4,318.9,330.4,319.6
855.3,1425,31.8,-3.5,10,3.44,5,5.5,318.9,330.4,319.5
854.7,1432,31.7,-3.5,10,3.44,5,5.5,318.8,330.3,319.5
854.2,1438,31.6,-3.5,10,3.44,5,5.5,318.8,330.3,319.5
853.6,1444,31.6,-3.5,10,3.45,4,5.6,318.8,330.3,319.5
853,1450,31.5,-3.5,10,3.45,3,5.6,318.8,330.3,319.4
852.4,1456,31.4,-3.5,10,3.45,2,5.6,318.7,330.3,319.4
851.8,1462,31.3,-3.5,10,3.46,1,5.7,318.7,330.2,319.4
851.2,1469,31.2,-3.5,10,3.46,1,5.7,318.7,330.2,319.4
850.6,1475,31.1,-3.5,10,3.46,360,5.8,318.7,330.2,319.3
850,1481,31,-3.5,10,3.47,359,5.8,318.6,330.2,319.3
849.4,1487,31,-3.5,11,3.47,358,5.8,318.6,330.2,319.3
848.8,1494,30.9,-3.5,11,3.48,357,5.9,318.6,330.2,319.3
848.2,1500,30.8,-3.5,11,3.48,356,5.9,318.6,330.2,319.3
847.7,1506,30.7,-3.5,11,3.49,356,6,318.5,330.2,319.2
847.1,1513,30.6,-3.5,11,3.49,355,6,318.5,330.2,319.2
846.5,1519,30.5,-3.4,11,3.5,354,6.1,318.5,330.2,319.2
845.9,1525,30.5,-3.4,11,3.5,353,6.1,318.5,330.1,319.2
845.3,1531,30.4,-3.4,11,3.51,352,6.2,318.5,330.1,319.1
844.7,1537,30.3,-3.4,11,3.51,352,6.2,318.4,330.1,319.1
844.2,1543,30.2,-3.4,11,3.52,351,6.3,318.4,330.1,319.1
