PRES hPa,HGHT m,TEMP C,DWPT C,RELH %,MIXR g/kg,DRCT deg,SPED m/s,THTA K,THTE K,THTV K
912.9,873,35.8,2.1,12,4.86,290,4.1,317.1,333,318
912.5,888,35.7,2.1,12,4.87,291,4.1,317.1,333,318
912,892,35.6,2.1,12,4.88,292,4.1,317,332.9,318
911.6,896,35.6,2.1,12,4.89,292,4,317,332.9,317.9
911.1,901,35.5,2.1,12,4.9,293,4,316.9,332.9,317.9
910.7,905,35.4,2.1,12,4.9,294,4,316.9,332.9,317.8
910.2,909,35.3,2.2,13,4.91,295,4,316.9,332.9,317.8
909.8,914,35.2,2.2,13,4.92,295,3.9,316.8,332.8,317.8
909.4,919,35.1,2.2,13,4.93,296,3.9,316.8,332.8,317.7
908.9,924,35.1,2.2,13,4.93,297,3.9,316.7,332.8,317.7
908.5,928,35,2.2,13,4.94,298,3.9,316.7,332.8,317.6
908,930,34.9,2.2,13,4.94,299,3.8,316.6,332.7,317.6
907.6,932,34.8,2.2,13,4.95,300,3.8,316.6,332.7,317.5
907.1,934,34.7,2.2,13,4.96,301,3.8,316.6,332.7,317.5
906.7,937,34.6,2.3,13,4.97,301,3.8,316.5,332.7,317.5
906.3,941,34.6,2.3,13,4.97,302,3.8,316.5,332.6,317.4
905.8,947,34.5,2.3,13,4.97,303,3.7,316.4,332.6,317.4
905.4,952,34.4,2.3,13,4.98,304,3.7,316.4,332.6,317.3
904.9,958,34.3,2.3,13,4.99,305,3.7,316.4,332.6,317.3
904.5,964,34.2,2.3,13,4.99,306,3.7,316.3,332.5,317.3
904.1,970,34.1,2.3,13,5,307,3.7,316.3,332.5,317.2
903.6,975,34.1,2.3,14,5,308,3.7,316.2,332.5,317.2
903.2,980,34,2.3,14,5.01,309,3.7,316.2,332.4,317.1
902.7,985,33.9,2.3,14,5.01,310,3.6,316.2,332.4,317.1
902.3,989,33.8,2.3,14,5.01,311,3.6,316.1,332.4,317.1
901.9,994,33.7,2.3,14,5.02,312,3.6,316.1,332.4,317
901.4,999,33.6,2.3,14,5.02,313,3.6,316,332.3,317
901,1003,33.6,2.3,14,5.03,314,3.6,316,332.3,316.9
900.6,1008,33.5,2.3,14,5.03,314,3.6,315.9,332.3,316.9
900.1,1011,33.4,2.4,14,5.04,315,3.6,315.9,332.2,316.9
899.7,1015,33.3,2.4,14,5.04,316,3.6,315.8,332.2,316.8
899.2,1018,33.2,2.4,14,5.04,317,3.6,315.8,332.2,316.8
898.8,1022,33.1,2.4,14,5.05,318,3.6,315.8,332.1,316.7
898.4,1027,33.1,2.4,14,5.05,319,3.6,315.7,332.1,316.7
897.9,1032,33,2.4,14,5.05,320,3.6,315.7,332.1,316.7
897.5,1036,32.9,2.4,15,5.06,321,3.6,315.6,332,316.6
897.1,1040,32.8,2.4,15,5.06,322,3.6,315.6,332,316.6
896.6,1044,32.7,2.4,15,5.06,323,3.6,315.6,331.9,316.5
896.2,1048,32.6,2.4,15,5.07,324,3.6,315.5,331.9,316.5
895.7,1052,32.6,2.4,15,5.07,325,3.6,315.5,331.9,316.4
895.3,1055,32.5,2.4,15,5.07,326,3.6,315.4,331.8,316.4
894.9,1059,32.4,2.4,15,5.07,327,3.6,315.4,331.8,316.4
894.4,1062,32.3,2.4,15,5.07,328,3.6,315.3,331.8,316.3
894,1066,32.2,2.4,15,5.08,329,3.6,315.3,331.7,316.3
893.6,1070,32.1,2.4,15,5.08,330,3.7,315.3,331.7,316.2
893.1,1075,32.1,2.4,15,5.08,331,3.7,315.2,331.6,316.2
892.7,1079,32,2.4,15,5.08,332,3.7,315.2,331.6,316.1
892.3,1083,31.9,2.4,15,5.08,333,3.7,315.1,331.6,316.1
891.8,1087,31.8,2.4,15,5.09,334,3.7,315.1,331.5,316.1
891.4,1091,31.7,2.4,15,5.09,335,3.7,315.1,331.5,316
891,1095,31.6,2.4,16,5.09,336,3.7,315,331.4,316
890.5,1099,31.6,2.3,16,5.09,336,3.8,315,331.4,315.9
890.1,1103,31.5,2.3,16,5.09,337,3.8,314.9,331.4,315.9
889.7,1106,31.4,2.3,16,5.09,338,3.8,314.9,331.3,315.9
889.2,1109,31.3,2.3,16,5.09,339,3.8,314.8,331.3,315.8
888.8,1113,31.2,2.3,16,5.09,340,3.8,314.8,331.2,315.8
888.4,1117,31.1,2.3,16,5.09,341,3.9,314.8,331.2,315.7
887.9,1121,31.1,2.3,16,5.09,342,3.9,314.7,331.1,315.7
887.5,1126,31,2.3,16,5.1,342,3.9,314.7,331.1,315.6
887.1,1130,30.9,2.3,16,5.09,343,3.9,314.6,331.1,315.6
886.7,1134,30.9,2.3,16,5.1,344,3.9,314.6,331.1,315.6
886.3,1138,30.8,2.4,16,5.12,345,3.9,314.7,331.2,315.6
885.9,1141,30.8,2.4,16,5.13,346,3.8,314.7,331.2,315.6
885.6,1145,30.8,2.4,16,5.14,347,3.8,314.7,331.2,315.6
885.2,1149,30.8,2.4,16,5.13,348,3.7,314.7,331.2,315.7
884.9,1152,30.7,2.4,16,5.13,349,3.7,314.7,331.2,315.6
884.5,1156,30.7,2.3,16,5.12,350,3.6,314.7,331.2,315.6
884.2,1159,30.6,2.3,16,5.11,351,3.6,314.6,331.1,315.6
883.8,1163,30.6,2.3,16,5.12,352,3.5,314.6,331.1,315.6
883.3,1168,30.5,2.3,17,5.13,353,3.5,314.6,331.2,315.6
882.8,1173,30.5,2.3,17,5.13,354,3.4,314.6,331.2,315.6
882.4,1177,30.5,2.3,17,5.13,355,3.4,314.6,331.2,315.6
882,1181,30.4,2.3,17,5.12,356,3.3,314.6,331.2,315.6
881.6,1185,30.4,2.3,17,5.11,356,3.3,314.6,331.1,315.6
881.2,1189,30.3,2.2,17,5.1,357,3.3,314.6,331.1,315.6
880.9,1193,30.3,2.2,17,5.09,357,3.2,314.6,331,315.6
880.6,1196,30.3,2.2,17,5.09,357,3.2,314.6,331,315.6
880.3,1199,30.2,2.2,17,5.1,357,3.2,314.6,331.1,315.6
879.9,1202,30.2,2.3,17,5.12,357,3.2,314.6,331.1,315.6
879.6,1206,30.2,2.3,17,5.12,357,3.1,314.7,331.2,315.6
879.2,1210,30.1,2.3,17,5.13,357,3.1,314.7,331.2,315.6
878.7,1214,30.1,2.3,17,5.14,356,3.1,314.7,331.2,315.6
878.3,1219,30,2.3,17,5.13,355,3.1,314.6,331.2,315.6
877.8,1224,30,2.2,17,5.12,355,3.1,314.6,331.1,315.6
