Target,Weather Balloon Data File,Year,Month,Day,Hour,Minute,Second,Observer Lat,Observer Lon,Observer Alt,Target Lat,Target Lon,Target Alt,RA,Dec,Apparent Alt,Apparent Az
Weather Balloon,020626UTweatherballoondataTampa.csv,2026,2,6,12,10,26,27.58508,-82.61485,2,27.57942,-81.28424,14890,,,5.991704446,89.93597996
Weather Balloon,020626UTweatherballoondataTampa.csv,2026,2,6,12,16,10,27.58508,-82.61485,2,27.58692,-81.14144,16620,,,5.973131859,89.53426012
Weather Balloon,020626UTweatherballoondataTampa.csv,2026,2,6,12,18,33,27.58508,-82.61485,2,27.58864,-81.09602,17333,,,6.009825625,89.44327181
Weather Balloon,020926UTweatherballoondataTampa.csv,2026,2,9,12,23,23,27.34142,-81.36363,24.56688,27.49878,-81.43428,13700,,,36.01774233,338.0957258
Spirit Airlines,010626UTweatherballoondataMiami.csv,2026,1,6,1,11,30,27.06811111,-82.22230556,-1.07,27.2931,-81.9698,10375.54409,136.3476814,47.05211155,,
Allegiant 453,011626UTweatherballoondataMiami.csv,2026,1,16,1,59,8,27.06894,-82.22377,4.42,27.0581,-81.5134,9466.84302,146.2008358,2.507249346,,
Jet Speed 691,012926UTweatherballoondataMiami.csv,2026,1,29,2,44,35,27.06765,-82.22612,6.2,26.5664,-82.3093,11898.24492,74.6550043,-50.53689124,,
American Airlines 1517,012926UTweatherballoondataMiami.csv,2026,1,29,2,56,7,27.06765,-82.22612,6.2,26.3003,-81.9388,9392.168589,122.2944716,-52.69358108,,
Getaway Mountain,070125UTweatherballoondataBoise.csv,2025,7,1,6,36,25,43.4007966,-116.2347568,890,43.33889,-116.83461,1642,178.0845833,-5.475416667,,
Varley SE2 Squamish,061125UTweatherballoondataPortHardy.csv,2025,6,11,7,30,21,49.559167,-123.235556,4,49.59239,-123.46111,1424,152.4295833,11.84377778,,
Pikes Peak,012825UTweatherballoondataGrandJunction.csv,2025,1,28,1,43,7,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,333.4545833,-14.06683333,,
Pikes Peak,012825UTweatherballoondataGrandJunction.csv,2025,1,28,2,31,40,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,345.6929167,-14.13361111,,
