Target,Weather Balloon Data File,Year,Month,Day,Hour,Minute,Second,Observer Lat,Observer Lon,Observer Alt,Target Lat,Target Lon,Target Alt,RA,Dec,Apparent Alt,Apparent Az,Star Name,Star RA (Equinox of Date corrected for proper motion/aberration/nutation),Star Dec (Equinox of Date corrected for proper motion/aberration/nutation),Star Geometric Alt From Observer Location,Star Geometric Az From Observer Location,Star Geometric Alt From Target Location,Star Geometric Az From Target Location,Target Surface Distance,Target Altitude - Observer Altitude,Flat Earth Rise/Run Angle,Target Refraction,Target Apparent Elevation Globe Prediction With Refraction,Star Refraction,Star Alt With Refraction Subtracted,Globe Error (Degrees),Celestial Theodolite Error (Degrees),Flat Earth Rise/Run Error (Degrees),Globe Occultation Time Error (Seconds),Celestial Theodolite Occultation Time Error (Seconds),Globe Target Height Error (meters),Flat Earth Target Height Error (meters),Winner
Weather Balloon,020626UTweatherballoondataTampa.csv,2026,2,6,12,10,26,27.58508,-82.61485,2.0,27.57942,-81.28424,14890.0,,,5.991704446,89.93597996,,,,,,,,131.38,14922.88172797513,6.480037797710539,0.07890541153028607,5.961517550041051,0.14676542356702793,5.814752126474023,0.0301868959589493,,-0.4883333517105388,,,70.27357166778481,1119.811193241793,Globe Wins!
Weather Balloon,020626UTweatherballoondataTampa.csv,2026,2,6,12,16,10,27.58508,-82.61485,2.0,27.58692,-81.14144,16620.0,,,5.973131859,89.53426012,,,,,,,,145.48,16661.469921534437,6.533624256180521,0.08372320840135217,5.95567132290684,0.14688956877313064,5.808781754133709,0.017460536093160783,,-0.5604923971805205,,,45.03065809038553,1423.1626716953817,Globe Wins!
Weather Balloon,020626UTweatherballoondataTampa.csv,2026,2,6,12,18,33,27.58508,-82.61485,2.0,27.58864,-81.09602,17333.0,,,6.009825625,89.44327181,,,,,,,,149.96,17378.284959850746,6.61028171303721,0.08481506444513975,6.01281101474758,0.1456841092184522,5.867126905529128,-0.002985389747579781,,-0.6004560880372098,,,7.940303814008126,1571.6332112359858,Globe Wins!
Weather Balloon,020926UTweatherballoondataTampa.csv,2026,2,9,12,23,23,27.34142,-81.36363,24.56688,27.49878,-81.43428,13700.0,,,36.01774233,338.0957258,,,,,,,,18.78,13704.956659867554,36.11405226238078,0.011349692940697764,36.011175366647194,0.022593178703594674,35.9885821879436,0.006566963352803157,,-0.09630993238078389,,,3.303397247751423,31.575386097567876,Globe Wins!
Spirit Airlines,010626UTweatherballoondataMiami.csv,2026,1,6,1,11,30,27.06811111,-82.22230556,-1.07,27.2931,-81.9698,10375.54409,136.3476814,47.05211155,,,HIP 44471,136.35831412489154,47.050232709467956,16.23026952926346,44.980545464046855,16.548191727535464,45.09602832977753,35.32,10376.61409,16.371418815209452,0.020111609250307083,16.21991039916662,0.052375747634776815,16.16753465153184,0.0627348777316179,0.17677291232601178,,-23.855,-67.217,42.06213043784296,108.97746814765189,Globe Wins!
Allegiant 453,011626UTweatherballoondataMiami.csv,2026,1,16,1,59,8,27.06894,-82.22377,4.42,27.0581,-81.5134,9466.84302,146.2008358,2.507249346,,,HIP 47693,146.2077157876943,2.506874772594258,7.266209068582418,90.89626502834409,7.898886919053105,91.21958307727758,70.48,9462.42302,7.646821831792657,0.043863727711143774,7.368667405198375,0.11523952364789114,7.253427881550484,0.012781187031934316,0.25206508726044774,,-3.436,-67.761,16.028219356078502,310.0612839909284,Globe Wins!
Jet Speed 691,012926UTweatherballoondataMiami.csv,2026,1,29,2,44,35,27.06765,-82.22612,6.2,26.5664,-82.3093,11898.24492,74.6550043,-50.53689124,,,HIP 23078,74.66289854348734,-50.53897418019951,11.591206598773198,188.15558317142322,12.09791730235363,188.11752325904524,56.15,11892.044919999998,11.957785708312985,0.033012619242072105,11.726495836123368,0.07506104017305404,11.651434795950314,-0.060228197177115916,0.14013159404064623,,-114.096,265.523,61.7974711847398,137.3321837678472,Globe Wins!
American Airlines 1517,012926UTweatherballoondataMiami.csv,2026,1,29,2,56,7,27.06765,-82.22612,6.2,26.3003,-81.9388,9392.168589,122.2944716,-52.69358108,,,HIP 39850,122.29967089630021,-52.69374177838527,5.4607591800065665,161.11473874526746,6.269899708265955,161.2432998243419,89.7,9385.968589,5.973425961164444,0.05631212238222538,5.620701476836032,0.14711136736058794,5.473590109475444,-0.012830929468877983,0.2964737471015111,,10.656,-246.175,20.338465211713565,464.1605586491443,Globe Wins!
Getaway Mountain,070125UTweatherballoondataBoise.csv,2025,7,1,6,36,25,43.4007966,-116.2347568,890.0,43.33889,-116.83461,1642.0,178.0845833,-5.475416667,,,HIP 57791,178.08492997015568,-5.4755621979846065,0.31724011662881463,262.1505791703589,0.7576665869572371,261.7386567224272,49.1,752.0,0.8774162532186764,0.019090986344963312,0.6761170447963886,0.3387388068546839,0.3373782379417047,-0.020138121312890056,-0.11974966626143935,,-6.697,-39.821,17.26695198211555,102.62499728960921,Globe Wins!
Varley SE2 Squamish,061125UTweatherballoondataPortHardy.csv,2025,6,11,7,30,21,49.559167,-123.235556,4.0,49.59239,-123.46111,1424.0,152.4295833,11.84377778,,,HIP 49669,152.4300862318595,11.843574742451711,4.635814794662656,282.8444158847262,4.785799217482879,282.6727011455756,16.73,1420.0,4.852543678449979,0.01251303404569537,4.789521932924304,0.16776313222929495,4.621758800695009,0.014055993967646785,-0.06674446096709996,,5.32,-25.26,4.133770493593536,19.484721167602725,Globe Wins!
